Data Source,World Development Indicators
,
Last Updated Date,10-07-25
,
Country Name,Country Code,Indicator Name,Indicator Code,2020,2021,2022,2023,2024
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3146467247.47262,3844492519.39592,4469402564.46605,4827649139.53984,
Africa Eastern and Southern,AFE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2520538632543.32,2786223906150.26,3094935963349.23,3266560801122.18,3447399081277.67
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,100094011602.726,85767546197.7544,86148711748.6848,91271896894.46,
Africa Western and Central,AFW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2127999646959.16,2306546845821.81,2571066726471.9,2754834316999.26,2942661070484.42
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,215784887951.053,255820605533.992,282403642417.848,295719779328.449,316269278905.416
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,41182971627.7157,45345719391.0897,54015565957.2178,58388027078.0145,63761192697.8729
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,4031176207.5678,4649508748.84024,5457407403.46601,5799854946.96513,6140390670.0909
Arab World,ARB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6478734719063.33,7371096765017.84,8449293584283.37,8886642358486.52,9253999567617.39
United Arab Emirates,ARE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,614384479773.466,645375981350.196,743309077886.72,797922323198.497,847957424147.982
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1011999397129.76,1191725417699.43,1343969240640.99,1369900046451.38,1378906089397.47
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,43552758696.8095,47164867556.762,56893939956.673,63833326718.2115,69234115090.8141
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,
